category,name
Plomería,"Tubo PVC C40  1"""" x 6 m  Cementar"
Plomería,"Tubo sanitario cementar 40 mm - 1-1/2"""" x 6 m"
Plomería,"Tubo sanitario cementar 40 mm - 1-1/2"""" x 6 m"
Plomería,"Tubo sanitario cementar 50 mm - 2"""" x 6 m"
Plomería,"Tubo sanitario cementar 50 mm - 2"""" x 6 m"
Plomería,"Tubo sanitario cementar 50 mm - 2"""" x 6 m"
Plomería,"Tubo sanitario cementar 75 mm - 3"""" x 6 m"
Plomería,"Tubo sanitario cementar 75 mm - 3"""" x 6 m"
Plomería,"Tubo sanitario cementar 75 mm - 3"""" x 6 m"
Plomería,"Tubo sanitario cementar 110 mm - 4"""" x 6 m"
Plomería,"Tubo sanitario cementar 110 mm - 4"""" x 6 m"
Plomería,"Tubo sanitario cementar 110 mm - 4"""" x 6 m"
Plomería,"Tubo sanitario cementar 160 mm - 6"""" x 6 m"
Plomería,"Tubo sanitario cementar 160 mm - 6"""" x 6 m"
Plomería,"Tubo sanitario cementar 40 mm - 1-1/2"""" x 6 m"
Plomería,"Tubo sanitario cementar 40 mm - 1-1/2"""" x 6 m"
Plomería,"Tubo sanitario cementar 50 mm - 2"""" x 6 m"
Plomería,"Tubo sanitario cementar 50 mm - 2"""" x 6 m"
Plomería,"Tubo sanitario cementar 50 mm - 2"""" x 6 m"
Plomería,"Tubo sanitario cementar 75 mm - 3"""" x 6 m"
Plomería,"Tubo sanitario cementar 75 mm - 3"""" x 6 m"
Plomería,"Tubo sanitario cementar 75 mm - 3"""" x 6 m"
Plomería,"Tubo sanitario cementar 110 mm - 4"""" x 6 m"
Plomería,"Tubo sanitario cementar 110 mm - 4"""" x 6 m"
Plomería,"Tubo sanitario cementar 110 mm - 4"""" x 6 m"
Plomería,"Tubo sanitario cementar 160 mm - 6"""" x 6 m"
Plomería,"Tubo sanitario cementar 160 mm - 6"""" x 6 m"
Plomería,"Tubo sanitario cementar 40 mm - 1-1/2"""" x 6 m"
Plomería,"Tubo sanitario cementar 40 mm - 1-1/2"""" x 6 m"
Plomería,"Tubo sanitario cementar 50 mm - 2"""" x 6 m"
Plomería,"Tubo sanitario cementar 50 mm - 2"""" x 6 m"
Plomería,"Tubo sanitario cementar 50 mm - 2"""" x 6 m"
Plomería,"Tubo sanitario cementar 75 mm - 3"""" x 6 m"
Plomería,"Tubo sanitario cementar 75 mm - 3"""" x 6 m"
Plomería,"Tubo sanitario cementar 75 mm - 3"""" x 6 m"
Plomería,"Tubo sanitario cementar 110 mm - 4"""" x 6 m"
Plomería,"Tubo sanitario cementar 110 mm - 4"""" x 6 m"
Plomería,"Tubo sanitario cementar 110 mm - 4"""" x 6 m"
Plomería,"Tubo sanitario cementar 160 mm - 6"""" x 6 m"
Plomería,"Tubo sanitario cementar 160 mm - 6"""" x 6 m"
Plomería,"Tubo sanitario cementar 40 mm - 1-1/2"""" x 6 m"
Plomería,"Tubo sanitario cementar 40 mm - 1-1/2"""" x 6 m"
Plomería,"Tubo sanitario cementar 50 mm - 2"""" x 6 m"
Plomería,"Tubo sanitario cementar 50 mm - 2"""" x 6 m"
Plomería,"Tubo sanitario cementar 50 mm - 2"""" x 6 m"
Plomería,"Tubo sanitario cementar 75 mm - 3"""" x 6 m"
Plomería,"Tubo sanitario cementar 75 mm - 3"""" x 6 m"
Plomería,"Tubo sanitario cementar 75 mm - 3"""" x 6 m"
Plomería,"Tubo sanitario cementar 110 mm - 4"""" x 6 m"
Plomería,"Tubo sanitario cementar 110 mm - 4"""" x 6 m"
Plomería,"Tubo sanitario cementar 110 mm - 4"""" x 6 m"
Plomería,"Tubo sanitario cementar 160 mm - 6"""" x 6 m"
Plomería,"Tubo sanitario cementar 160 mm - 6"""" x 6 m"
Plomería,"Tubo CPVC RD13.5 1/2"""" x 3.05 m"
Plomería,"Tubo CPVC RD13.5 3/4"""" x 3.05 m"
Plomería,"Tubo CPVC RD13.5 1"""" 3.05"
Plomería,"Tubo CPVC RD13.5 1/2"""" x 6.1 m"
Plomería,"Tubo CPVC RD13.5 1/2"""" x 6.1 m"
Plomería,"Tubo CPVC RD13.5 3/4"""" x 6.1 m"
Plomería,"Tubo CPVC RD13.5 1"""" x 6.1 m"
Plomería,"Tubo CPVC RD13.5 1/2"""" x 3.05 m"
Plomería,"Tubo CPVC RD13.5 1"""" 3.05"
Plomería,Tubo clase 16 PPR 20 mm x 4 m
Plomería,Tubo clase 16 PPR 20 mm x 4 m
Plomería,Tubo clase 16 PPR 20 mm x 4 m
